RMMSoftware,Vendor URL,
2,teamviewer,https://www.teamviewer.com/
3,anydesk,https://anydesk.com/
4,gotomypc,https://get.gotomypc.com/
5,screenconnect,https://screenconnect.connectwise.com/
6,simplehelp,https://simple-help.com/
7,netsupport,https://www.netsupportsoftware.com/
8,atera,https://www.atera.com/
9,gotohttp,https://gotohttp.com/
10,splashtop,https://www.splashtop.com/
11,ammyy,https://www.ammyy.com/
12,idrive,https://www.remotepc.com/
13,remote utilities,https://www.remoteutilities.com/
14,glavsoft,https://glavsoft.com/
